,Görüş,Durum,new_text
17,"Bu özel bölümde; Milletler Ligi Şampiyonluğu Kupası, Avrupa Şampiyonluğu Kupası ve Dünya Kupası adıyla oynanan Olimpiyat Elemelerinde kazandığı kupa olmak üzere 3 kupa birden kazanan Türkiye Kadın Milli Voleybol takımının başarılı oyuncusu Zehra Güneş...",1,özel bölümde; milletler ligi şampiyonluğu kupası avrupa şampiyonluğu kupası dünya kupası adıyla oynanan olimpiyat elemelerinde kazandığı kupa olmak üzere 3 kupa birden kazanan türkiye kadın milli voleybol takımının başarılı oyuncusu zehra güneş
18,Olimpiyat altinimiz da olacak ,1,olimpiyat altinimiz olacak
19," SON DAKİKA Galatasaray İkinci Başkanı Metin Öztürk:

“Süper Kupa finalinin Türkiye dışında oynanmasını istemiyoruz. 

TFF'nin yanlış kararından dönmesi gerekmektedir. Atatürk Olimpiyat Stadı'nda oynayalım. Cumhurbaşkanımız da gelsin kazanan takıma kupasını orada versin.”",1,son daki̇ka galatasaray i̇kinci başkanı metin öztürk süper kupa finalinin türkiye dışında oynanmasını istemiyoruz tff'nin yanlış kararından dönmesi gerekmektedir atatürk olimpiyat stadı'nda oynayalım cumhurbaşkanımız gelsin kazanan takıma kupasını orada versin
20,"kulüplerde toplam 64 kupa
olimpiyat madalyası (oyuncu & koç) 
milli takım dublesi (WC & EC)
11x avrupa şampiyonluğu
18x euroleague final four
18x lig şampiyonluğu

#season32",1,kulüplerde toplam 64 kupa olimpiyat madalyası (oyuncu & koç) milli takım dublesi (wc & ec) 11x avrupa şampiyonluğu 18x euroleague final four 18x lig şampiyonluğu season32
21,"Maçı koy Atatürk Olimpiyat'a, aynı ŞL'deki gibi de ikiye böl seyirciyi, bir taraf sarı-lacivert öbür taraf sarı-kırmızı olsun. Al sana pazarlamasını yapabileceğin etkinlik.",1,maçı koy atatürk olimpiyat'a aynı şl'deki ikiye böl seyirciyi bir taraf sarı-lacivert öbür taraf sarı-kırmızı olsun al sana pazarlamasını yapabileceğin etkinlik
22,"Turnuvada dereceye giren sporcular madalyalarını; TEF Olimpiyat Koordanitörü Kenan Gönder’in elinden aldı.

Tüm sporcuları tebrik ediyoruz.",1,turnuvada dereceye giren sporcular madalyalarını; tef olimpiyat koordanitörü kenan gönder’in elinden aldı sporcuları tebrik ediyoruz
23,Metin Öztürk'ün Süper Kupa maçını Türkiye'de hatta Atatürk Olimpiyat stadında oynayalım görüşünü destekliyorum. 100.yıla yakışan bu maçın Türkiye'de oynanmasıdır.,1,metin öztürk'ün süper kupa maçını türkiye'de hatta atatürk olimpiyat stadında oynayalım görüşünü destekliyorum 100 yıla yakışan maçın türkiye'de oynanmasıdır
24, Metin Öztürk: TFF'nin yanlış kararından dönmesi gerekmektedir. Atatürk Olimpiyat Stadı'nda oynayalım. Cumhurbaşkanımız da gelsin kazanan takıma kupasını orada versin.,1,metin öztürk tff'nin yanlış kararından dönmesi gerekmektedir atatürk olimpiyat stadı'nda oynayalım cumhurbaşkanımız gelsin kazanan takıma kupasını orada versin
25,Galatasaray İkinci Başkanı Metin Öztürk: Süper Kupa finalinin Türkiye dışında oynanmasını bir taraftar olarak istemiyorum. Eminim ki Fenerbahçe taraftarının da istediği budur. TFF'nin yanlış kararından dönmesi gerekmektedir. Atatürk Olimpiyat Stadı'nda oynayalım.,1,galatasaray i̇kinci başkanı metin öztürk süper kupa finalinin türkiye dışında oynanmasını bir taraftar olarak istemiyorum eminim fenerbahçe taraftarının istediği budur tff'nin yanlış kararından dönmesi gerekmektedir atatürk olimpiyat stadı'nda oynayalım
26,"Galatasaray İkinci Başkanı Metin Öztürk:: ""Süper Kupa finalinin Türkiye dışında oynanmasını bir taraftar olarak istemiyorum. Eminim ki Fenerbahçe taraftarının da istediği budur. TFF'nin yanlış kararından dönmesi gerekmektedir. Atatürk Olimpiyat Stadı'nda oynayalım.…
Daha fazla göster",1,galatasaray i̇kinci başkanı metin öztürk süper kupa finalinin türkiye dışında oynanmasını bir taraftar olarak istemiyorum eminim fenerbahçe taraftarının istediği budur tff'nin yanlış kararından dönmesi gerekmektedir atatürk olimpiyat stadı'nda oynayalım … fazla göster
27," SON DAKİKA!

 Galatasaray İkinci Başkanı Metin Öztürk: ""Süper Kupa Finali'nin Türkiye dışında oynanmasını bir taraftar olarak istemiyorum. Eminim ki Fenerbahçe taraftarının da istediği budur. TFF'nin yanlış kararından dönmesi gerekmektedir. Atatürk Olimpiyat Stadı'nda…
Daha fazla göster",1,son daki̇ka galatasaray i̇kinci başkanı metin öztürk süper kupa finali'nin türkiye dışında oynanmasını bir taraftar olarak istemiyorum eminim fenerbahçe taraftarının istediği budur tff'nin yanlış kararından dönmesi gerekmektedir atatürk olimpiyat stadı'nda… fazla göster
28,Metin Öztürk: “TFF'nin yanlış kararından dönmesi gerekmektedir. Atatürk Olimpiyat Stadı'nda oynayalım. Cumhurbaşkanımız da gelsin kazanan takıma kupasını orada versin.”,1,metin öztürk tff'nin yanlış kararından dönmesi gerekmektedir atatürk olimpiyat stadı'nda oynayalım cumhurbaşkanımız gelsin kazanan takıma kupasını orada versin
29," Metin Öztürk:

""TFF'nin Süper Kupa konusundaki yanlış kararından dönmesi gerekmektedir. Atatürk Olimpiyat Stadı'nda oynayalım. Cumhurbaşkanımız da gelsin kazanan takıma kupasını orada versin.""",1,metin öztürk tff'nin süper kupa konusundaki yanlış kararından dönmesi gerekmektedir atatürk olimpiyat stadı'nda oynayalım cumhurbaşkanımız gelsin kazanan takıma kupasını orada versin
30,"Türk okçuluğunun olimpiyat tarihindeki ""altın"" sporcusu Mete Gazoz",1,türk okçuluğunun olimpiyat tarihindeki altın sporcusu mete gazoz
31,olimpiyat şampiyonları derken zehranın girmesi benim için bir manifesttir,1,olimpiyat şampiyonları derken zehranın girmesi benim bir manifesttir
32,“kendi alanlarinda dunyanin en iyileri avrupa dunya olimpiyat sampiyonlari sporcularimiz”,1,kendi alanlarinda dunyanin iyileri avrupa dunya olimpiyat sampiyonlari sporcularimiz
33,"Eda Erdem: Olimpiyat Elemeleri’ne Güzel Bir Başlangıç Yaptık

http://voleyboldan.com/eda-erdem-olimpiyat-elemelerine-guzel-bir-baslangic-yaptik…",1,eda erdem olimpiyat elemeleri’ne güzel bir başlangıç yaptık http //voleyboldan com/eda-erdem-olimpiyat-elemelerine-guzel-bir-baslangic-yaptik…
34,"Filenin Sultanları, Paris 2024 Olimpiyat Elemeleri’nde 2’de 2 Yaptı

http://voleyboldan.com/filenin-sultanlari-paris-2024-olimpiyat-elemelerinde-2de-2-yapti…",1,filenin sultanları paris 2024 olimpiyat elemeleri’nde 2’de 2 yaptı http //voleyboldan com/filenin-sultanlari-paris-2024-olimpiyat-elemelerinde-2de-2-yapti…
35,"Brezilya, Olimpiyat Elemelerinde Roberta’nın Hızına Yetişecek

http://voleyboldan.com/brezilya-olimpiyat-elemelerinde-robertanin-hizina-yetisecek…",1,brezilya olimpiyat elemelerinde roberta’nın hızına yetişecek http //voleyboldan com/brezilya-olimpiyat-elemelerinde-robertanin-hizina-yetisecek…
36,"Voleybol Severleri Heyecanlandıran Olimpiyat Elemeleri Başlıyor

http://voleyboldan.com/voleybol-severleri-heyecanlandiran-olimpiyat-elemeleri-basliyor…",1,voleybol severleri heyecanlandıran olimpiyat elemeleri başlıyor http //voleyboldan com/voleybol-severleri-heyecanlandiran-olimpiyat-elemeleri-basliyor…
37," Uluslararası Bisiklet Birliği'nin (UCI) Ülkeler Olimpiyat Sıralama Listesi'ne göre 40. sırada yer alan Türkiye, Paris 2024 Olimpiyat Oyunları'nda erkekler yol yarışında bir sporcuyla temsil edilmeye hak kazandı.",1,uluslararası bisiklet birliği'nin (uci) ülkeler olimpiyat sıralama listesi'ne göre 40 sırada yer alan türkiye paris 2024 olimpiyat oyunları'nda erkekler yol yarışında bir sporcuyla temsil edilmeye hak kazandı
38,"Takla atıp hiçbir şey olmamış gibi devam edebilmek de gösteriye dahil.

 Olimpiyat kürsüsüne çıkan Mark McMorris'in snowboard şovu.",1,takla atıp hiçbir olmamış devam edebilmek gösteriye dahil olimpiyat kürsüsüne çıkan mark mcmorris'in snowboard şovu
39,Ruhsuz olimpiyat stadında oynamaktansa burda oynayalım. Ben okeyim  valla,1,ruhsuz olimpiyat stadında oynamaktansa burda oynayalım ben okeyim valla
40,"Ağabey sen cedi ile karıştırdın sanırım, alperen olimpiyat elemelerinde oynadı",1,ağabey sen cedi karıştırdın sanırım alperen olimpiyat elemelerinde oynadı
41,İşitme engelli dünya ve olimpiyat şampiyonu milli güreşçi Kadir KUŞ ve değerli eşi İşitme Engelli Dünya ve Olimpiyat Şampiyonu milli tekvandocu Aslıhan SAVAN KUŞ gençlik merkezimizi ziyaret ederek miniklerimizle keyifli bir gün geçirdiler.,1,i̇şitme engelli dünya olimpiyat şampiyonu milli güreşçi kadir kuş değerli eşi i̇şitme engelli dünya olimpiyat şampiyonu milli tekvandocu aslıhan savan kuş gençlik merkezimizi ziyaret ederek miniklerimizle keyifli bir gün geçirdiler
42, 100 yıllık Cumhuriyet'in ilk olimpiyat madalyalı Türk atleti: Ruhi Sarıalp,1,100 yıllık cumhuriyet'in ilk olimpiyat madalyalı türk atleti ruhi sarıalp
43," Olimpiyat tarihinin madalyalı ilk Türk atleti: Ruhi Sarıalp

 Sarıalp'in 1948 Londra Olimpiyatları'nda üç adım atlamada kazandığı bronz madalya, Atina 2004'e kadar 56 yıl boyunca Türkiye'nin olimpiyatlarda atletizm branşındaki tek madalyası oldu. http://v.aa.com.tr/3033004",1,olimpiyat tarihinin madalyalı ilk türk atleti ruhi sarıalp sarıalp'in 1948 londra olimpiyatları'nda üç adım atlamada kazandığı bronz madalya atina 2004'e kadar 56 yıl boyunca türkiye'nin olimpiyatlarda atletizm branşındaki tek madalyası oldu http //v aa com tr/3033004
44,"Türkiye'nin sınır tanımayan dağcısı Tunç Fındık: Dağcılık branşında ""olimpiyat şampiyonluğu"" olarak nitelendirilen ve dünyada sadece 49 kişinin tamamlayabildiği ""14x8000"" projesini başarıyla tamamlayan ilk Türk sporcu olan Tunç Fındık, Cumhuriyet'in 100.… https://yazargazetesi.com.tr/turkiyenin-sinir-tanimayan-dagcisi-tunc-findik?utm_source=dlvr.it&utm_medium=twitter…",1,türkiye'nin sınır tanımayan dağcısı tunç fındık dağcılık branşında olimpiyat şampiyonluğu olarak nitelendirilen dünyada sadece 49 kişinin tamamlayabildiği 14x8000 projesini başarıyla tamamlayan ilk türk sporcu olan tunç fındık cumhuriyet'in 100 … https //yazargazetesi com tr/turkiyenin-sinir-tanimayan-dagcisi-tunc-findik utm_source=dlvr it&utm_medium=twitter…
45,"Olimpiyat müsabakaları hikaye dolu, izleyince kim çalışıyor, kim öylesine anlatıyor anlıyorsun :)",1,olimpiyat müsabakaları hikaye dolu izleyince çalışıyor öylesine anlatıyor anlıyorsun )
46,"A Milli Voleybol Takımı'nın tarihi başarılarında başrol olan yıldızlardan Melissa Vargas, olimpiyat şampiyonu Mete Gazoz ile birlikte reklam filmi için kamera karşısına geçti. 

İkilinin verdiği bir pozda Mete Gazoz'ın Melissa Vargas'tan kısa olmasına rağmen uzun gösterilmesine…
Daha fazla göster",1,a milli voleybol takımı'nın tarihi başarılarında başrol olan yıldızlardan melissa vargas olimpiyat şampiyonu mete gazoz birlikte reklam filmi kamera karşısına geçti i̇kilinin verdiği bir pozda mete gazoz'ın melissa vargas'tan kısa olmasına rağmen uzun gösterilmesine… fazla göster
47,"FB'nin, büyük kulüp olma avantajını daha çok seyirci ile kullanma isteği en doğal hakkıdır.

Ancak iyi bir zeminin güçlü ve teknik takımlara sağlayacağı avantaj düşünüldüğünde, bozuk zeminli Olimpiyat yerine düzgün bir zemine sahip Pendik stadında oynaması yararına olacaktır.",1,fb'nin büyük kulüp olma avantajını seyirci kullanma isteği doğal hakkıdır ancak iyi bir zeminin güçlü teknik takımlara sağlayacağı avantaj düşünüldüğünde bozuk zeminli olimpiyat yerine düzgün bir zemine sahip pendik stadında oynaması yararına olacaktır
48,"+olımpıyat elemelerınde brezilya/japonya maçi ztn şov yapti, santarellı zeki bi anternor Hande'nın tecrübesi ve içindeki yeteneği gördü ve formsuz olduğu halde ondan vazgeçmedi ki ne kadar doğru yaptığını hepimiz gördük sizde haddinizi bilin artık ",1,+olımpıyat elemelerınde brezilya/japonya maçi ztn şov yapti santarellı zeki bi anternor hande'nın tecrübesi içindeki yeteneği gördü formsuz olduğu halde ondan vazgeçmedi kadar doğru yaptığını hepimiz gördük sizde haddinizi bilin artık
49,"Soru : santarellı hande de ne görmüş? Olımpıyat elemelerınde takımda en çok blok yapan en iyi hücum eden smaçor ve en iyi manşet alan oyuncu oldu aşde belçika maçi kritik yerde 2 blok yapıyo polonya/ıtalya/sırbistan'a karsi inanılmaz defanslar ve aldığı 90~100km servisler, ",1,soru santarellı hande görmüş olımpıyat elemelerınde takımda blok yapan iyi hücum eden smaçor iyi manşet alan oyuncu oldu aşde belçika maçi kritik yerde 2 blok yapıyo polonya/ıtalya/sırbistan'a karsi inanılmaz defanslar aldığı 90~100km servisler
50,“Olimpiyat şampiyonu Mete Gazoz” diyeceksiniz.,1,olimpiyat şampiyonu mete gazoz diyeceksiniz
51,Vaay Dünya olimpiyat yüzme şampuanı da topa girmiş ,1,vaay dünya olimpiyat yüzme şampuanı topa girmiş
52,Ama öyle şey olur mu ya keşke hande gitse vakıfa falan ne kadar güzel olurdu onun için daha olimpiyat maçları var bir sürü rakibi var en iyisi olmak zorunda,1,öyle olur keşke hande gitse vakıfa falan kadar güzel olurdu onun olimpiyat maçları var bir sürü rakibi var iyisi olmak zorunda
53,zemin olimpiyattan 8 kat daha iyi.ümraniye-olimpiyat gibi rüzgar sorunuda yok.mesela gs keşke istanbulspor maçını esenyurtta oynasa diyordum.,1,zemin olimpiyattan 8 kat iyi ümraniye-olimpiyat rüzgar sorunuda yok mesela gs keşke istanbulspor maçını esenyurtta oynasa diyordum
54,Uzun boylu smaçörümüz yok en uzunu Hande o yüzden handede ısrar etti ki Hande olimpiyat elemelerinde en iyi smaçörümüzdü,1,uzun boylu smaçörümüz yok uzunu hande yüzden handede ısrar etti hande olimpiyat elemelerinde iyi smaçörümüzdü
55,20 yıldır ortalarda yoktur dediğin olay bence göreceli. Ben Sn Arat'ı devamlı kongre ve divanlarda görüyordum mesela. Gündem olayım derdi olmayan Seba ekolünden gelen biri kendisi. Olimpiyat komitelerinde baskanlık yapmış biri... Eski sporcumuz daha ne olsun ,1,20 yıldır ortalarda yoktur dediğin olay bence göreceli ben sn arat'ı devamlı kongre divanlarda görüyordum mesela gündem olayım derdi olmayan seba ekolünden gelen kendisi olimpiyat komitelerinde baskanlık yapmış eski sporcumuz olsun
56," ""Türk kadınının gücünü herkese göstermeye çalışıyoruz.""

 Kariyerinde 6 Avrupa ve 2 dünya şampiyonluğu ile olimpiyat madalyası bulunan Yasemin Adar Yiğit, Türk kadın güreşinin öncüsü oldu.",1,türk kadınının gücünü herkese göstermeye çalışıyoruz kariyerinde 6 avrupa 2 dünya şampiyonluğu olimpiyat madalyası bulunan yasemin adar yiğit türk kadın güreşinin öncüsü oldu
57,"Dünya ve Avrupa şampiyonu milli güreşçi Kürşat Kiraz, 2025'te Japonya'da düzenlenecek İşitme Engelliler Yaz Olimpiyat Oyunları'nda başarısını madalyayla taçlandırmak istiyor",1,dünya avrupa şampiyonu milli güreşçi kürşat kiraz 2025'te japonya'da düzenlenecek i̇şitme engelliler yaz olimpiyat oyunları'nda başarısını madalyayla taçlandırmak istiyor
58,Olimpiyat ve dünya şampiyonu bir arada ,1,olimpiyat dünya şampiyonu bir arada
59,"Adam form durumuna göre oynattı. Avrupa şampiyonası ve olimpiyat elemeleri en kritik maçlarda Cansu sahadaydı. Kazanmak için ne gerekiyorsa yaptı. Bence Santa'yı karıştırmayın, diğer konularda bir şey demiyorum.",1,adam form durumuna göre oynattı avrupa şampiyonası olimpiyat elemeleri kritik maçlarda cansu sahadaydı kazanmak gerekiyorsa yaptı bence santa'yı karıştırmayın diğer konularda bir demiyorum
60,"Yüzyılın Koşusuna 10 gün kala isim sponsorumuz 
@isbankasi
 GM Sn. Hakan Aran, 
@AtletizmTAF
 Bşk Sn. Fatih Çintimar ve İBB Başkanımız Sn. Ekrem İmamoğlu ile koşu, maraton, spor kültürü, İstanbul ve olimpiyat konuştuk. 
@ekrem_imamoglu
 #hakanaran 
@Fatih_Cintimar
 @ibbsporistanbul",1,yüzyılın koşusuna 10 gün kala isim sponsorumuz isbankasi gm sn hakan aran atletizmtaf bşk sn fatih çintimar i̇bb başkanımız sn ekrem i̇mamoğlu koşu maraton spor kültürü i̇stanbul olimpiyat konuştuk ekrem_imamoglu hakanaran fatih_cintimar ibbsporistanbul
61,"Bismillah çekip Olimpiyat elemelerindeki Japonya maçında Hande Baladın performansını tekrar izleyin, maşallah diyerek kapatın. Bu kıyaslamayı içgüdüsel olarak silersiniz zaten ",1,bismillah çekip olimpiyat elemelerindeki japonya maçında hande baladın performansını tekrar izleyin maşallah diyerek kapatın kıyaslamayı içgüdüsel olarak silersiniz zaten
62,"25 Ekim 1964  Tarihte bugün: 

 Hollandalı sporcu Anton Geesink, judoda Japonya dışında olimpiyat altını kazanan ilk sporcu oldu ve tarihe geçti.",1,25 ekim 1964 tarihte bugün hollandalı sporcu anton geesink judoda japonya dışında olimpiyat altını kazanan ilk sporcu oldu tarihe geçti
63," 2023 yılında bütün kupaları kazandınız. Çok başarılı bir sezon geçirdin. Kariyerinde 2023 yılını bitirdiğin zaman nereye koyucaksın? 

 Gizem Örge: ""En başa koyacağımı düşünüyorum. Umarım bundan daha güzelleri olur, Olimpiyat gibi... Şu anda kariyerimde 2023 yılında…
Daha fazla göster",1,2023 yılında bütün kupaları kazandınız başarılı bir sezon geçirdin kariyerinde 2023 yılını bitirdiğin zaman koyucaksın gizem örge başa koyacağımı düşünüyorum umarım bundan güzelleri olur olimpiyat anda kariyerimde 2023 yılında… fazla göster
64,Ben İlkin ve Tuğba’dan razıyım vallahi. İnşallah olimpiyat kadrosunda olacaklar. Artı Derya +Ebrar ve Hande. Smaçör rotasyonumuz budur.,1,ben i̇lkin tuğba’dan razıyım vallahi i̇nşallah olimpiyat kadrosunda olacaklar artı derya +ebrar hande smaçör rotasyonumuz budur
65,Sene 2013 ATATÜRK Olimpiyat Stadı BEŞİKTAŞ Gaziantep maçı ilk gittiğim Beşiktaş maçı hala bile aklıma gelince tüylerim diken diken olur golleri almeida atmıştı biri penaltı biri kafa ile ulan ne güzel zamanlardı...,1,sene 2013 atatürk olimpiyat stadı beşi̇ktaş gaziantep maçı ilk gittiğim beşiktaş maçı hala bile aklıma gelince tüylerim diken diken olur golleri almeida atmıştı penaltı kafa ulan güzel zamanlardı
66,"Lionel Messi ve Angel Di Maria’nın, Dünya Şampiyonu olduktan sonra uzun uzun sarılma anı.

Bu dostluk, 2008 Olimpiyat Şampiyonluğuyla başlamıştı..",1,lionel messi angel di maria’nın dünya şampiyonu olduktan sonra uzun uzun sarılma anı dostluk 2008 olimpiyat şampiyonluğuyla başlamıştı
67,olimpiyat şarkımız kesinlikle bu olsuuun ,1,olimpiyat şarkımız kesinlikle olsuuun
68,Aferim kız maşallah masllah hepiniz dark kodunuzu açın almamız gereken bir olimpiyat altını varda,1,aferim kız maşallah masllah hepiniz dark kodunuzu açın almamız gereken bir olimpiyat altını varda
69,"Yine Gururlandık, Teşekkürler Samet

23-24 Ekim 2023 Ankara'da düzenlenen Türkiye İşitme Engelliler Büyükler Judo Şampiyonası'nda Akçaabat Belediye Spor Kulübü Sporcumuz +100 Kg Samet Bulut Şampiyon oldu

DEAF Olimpiyat, Dünya ve Avrupa Şampiyonu Sporcumuz İran'da…
Daha fazla göster",1,yine gururlandık teşekkürler samet 23-24 ekim 2023 ankara'da düzenlenen türkiye i̇şitme engelliler büyükler judo şampiyonası'nda akçaabat belediye spor kulübü sporcumuz +100 kg samet bulut şampiyon oldu deaf olimpiyat dünya avrupa şampiyonu sporcumuz i̇ran'da… fazla göster
70,"5’te 5, 20’de 20… Dünyanın en güzel kızları bizi öylesine şımarttı ki, artık olimpiyat madalyası bile kesmez, sayenizde olimpiyat şampiyonluğuna inanıyoruz",1,5’te 5 20’de 20… dünyanın güzel kızları bizi öylesine şımarttı artık olimpiyat madalyası bile kesmez sayenizde olimpiyat şampiyonluğuna inanıyoruz
71,Çok saçma deplasman taraftarından gelecek olan parayı elinin tersiyle itmek demek böyle büyük takimlarin maçlarına olimpiyat stadı için ideal zaten ligin yarısı İstanbul takımı ve güzel para kaldırılabilir yener yada yenilirsin ayrı ama gelir getirisi var,1,saçma deplasman taraftarından gelecek olan parayı elinin tersiyle itmek demek böyle büyük takimlarin maçlarına olimpiyat stadı ideal zaten ligin yarısı i̇stanbul takımı güzel para kaldırılabilir yener yada yenilirsin ayrı gelir getirisi var
72,Cimnastikte Cumhuriyet tarihinin olimpiyat madalyalı tek sporcusu: Ferhat Arıcan,1,cimnastikte cumhuriyet tarihinin olimpiyat madalyalı tek sporcusu ferhat arıcan
73,"1961 yılında hayatını kaybeden olimpiyat, dünya ve Avrupa şampiyonu efsane mili güreşçi Yaşar Doğu, yaşamı boyunca kendini Türk güreşinin gelişimine adadı.",1,1961 yılında hayatını kaybeden olimpiyat dünya avrupa şampiyonu efsane mili güreşçi yaşar doğu yaşamı boyunca kendini türk güreşinin gelişimine adadı
74,"Dünya Fair Play Ödüllerine Türkiye damgası https://voleybolaktuel.com/dunya-fair-play-odullerine-turkiye-damgasi/… 
@TMOK_Olimpiyat
  #FairPlay",1,dünya fair play ödüllerine türkiye damgası https //voleybolaktuel com/dunya-fair-play-odullerine-turkiye-damgasi/… tmok_olimpiyat fairplay
